job_support,itemsets,job_length,p2_pass_support,p2_pass_length,p2_self_support,p2_self_length,p1_self_support,p1_self_length
0.05714285714285714,"frozenset({'Agile', 'Data Engineer', 'ETL'})",3,,,0.08656716417910448,3.0,0.04438565549676661,3.0
0.05714285714285714,"frozenset({'Agile', 'Spark', 'Data Engineer'})",3,,,0.05373134328358209,3.0,0.02704291593180482,3.0
0.05714285714285714,"frozenset({'Data Engineer', 'Amazon Redshift', 'Tech Lead'})",3,0.015128593040847202,3.0,,,,
0.05714285714285714,"frozenset({'Agile', 'Data Engineer', 'Tech Lead'})",3,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'ETL', 'Agile'})",3,,,0.03283582089552239,3.0,0.017930629041740153,3.0
0.05714285714285714,"frozenset({'Data Warehousing', 'Spark', 'Agile'})",3,,,0.019402985074626865,3.0,,
0.05714285714285714,"frozenset({'Data Warehousing', 'Agile', 'Tech Lead'})",3,,,,,,
0.05714285714285714,"frozenset({'Agile', 'Spark', 'ETL'})",3,,,0.05970149253731343,3.0,0.027336860670194002,3.0
0.05714285714285714,"frozenset({'Agile', 'ETL', 'Tech Lead'})",3,,,,,,
0.05714285714285714,"frozenset({'Agile', 'Spark', 'Tech Lead'})",3,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'Amazon Redshift', 'Data Engineer'})",3,,,0.09104477611940298,3.0,0.05790711346266902,3.0
0.05714285714285714,frozenset({'AWS DevOps'}),1,0.16036308623298035,1.0,0.029850746268656716,1.0,0.024103468547912992,1.0
0.05714285714285714,"frozenset({'Spark', 'Amazon Redshift', 'Data Engineer'})",3,0.08925869894099848,3.0,0.17313432835820897,3.0,0.12580834803057026,3.0
0.05714285714285714,"frozenset({'Agile', 'Spark', 'Amazon Redshift', 'ETL'})",4,,,,,,
0.05714285714285714,"frozenset({'Agile', 'Amazon Redshift', 'ETL', 'Tech Lead'})",4,,,,,,
0.05714285714285714,"frozenset({'Agile', 'Spark', 'Amazon Redshift', 'Tech Lead'})",4,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'ETL', 'Agile', 'Amazon Redshift', 'Tech Lead'})",5,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'Data Engineer', 'Agile', 'Spark', 'Amazon Redshift'})",5,,,,,,
0.05714285714285714,"frozenset({'Amazon Redshift', 'Data Warehousing', 'Agile', 'Data Engineer', 'Tech Lead'})",5,,,,,,
0.05714285714285714,"frozenset({'ETL', 'Data Engineer', 'Agile', 'Spark', 'Amazon Redshift'})",5,,,,,,
0.05714285714285714,"frozenset({'Amazon Redshift', 'ETL', 'Agile', 'Data Engineer', 'Tech Lead'})",5,,,,,,
0.05714285714285714,"frozenset({'Amazon Redshift', 'ETL', 'Agile', 'Spark', 'Data Engineer', 'Tech Lead'})",6,,,,,,
0.05714285714285714,"frozenset({'Amazon Redshift', 'Data Warehousing', 'Agile', 'Spark', 'Data Engineer', 'Tech Lead'})",6,,,,,,
0.05714285714285714,"frozenset({'Amazon Redshift', 'Data Warehousing', 'ETL', 'Agile', 'Data Engineer', 'Tech Lead'})",6,,,,,,
0.05714285714285714,"frozenset({'Amazon Redshift', 'Agile', 'Spark', 'Data Engineer', 'Tech Lead'})",5,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'ETL', 'Data Engineer', 'Agile', 'Spark', 'Amazon Redshift'})",6,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'ETL', 'Agile', 'Spark', 'Amazon Redshift'})",5,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'Agile', 'Spark', 'Amazon Redshift', 'Tech Lead'})",5,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'Data Engineer', 'ETL', 'Agile'})",4,,,,,,
0.05714285714285714,"frozenset({'ETL', 'Agile', 'Spark', 'Amazon Redshift', 'Tech Lead'})",5,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'ETL', 'Agile', 'Spark', 'Data Engineer'})",5,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'ETL', 'Agile', 'Data Engineer', 'Tech Lead'})",5,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'ETL', 'Spark', 'Data Engineer', 'Tech Lead'})",5,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'Agile', 'Spark', 'Data Engineer', 'Tech Lead'})",5,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'ETL', 'Spark', 'Amazon Redshift', 'Tech Lead'})",5,,,,,,
0.05714285714285714,"frozenset({'ETL', 'Agile', 'Spark', 'Data Engineer', 'Tech Lead'})",5,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'ETL', 'Agile', 'Spark', 'Tech Lead'})",5,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'ETL', 'Data Engineer', 'Spark', 'Amazon Redshift'})",5,,,,,,
0.05714285714285714,"frozenset({'Amazon Redshift', 'ETL', 'Spark', 'Data Engineer', 'Tech Lead'})",5,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'ETL', 'Data Engineer', 'Agile', 'Amazon Redshift'})",5,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'Spark', 'ETL', 'Tech Lead'})",4,,,,,,
0.05714285714285714,"frozenset({'Spark', 'Data Engineer', 'ETL', 'Tech Lead'})",4,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'Spark', 'Data Engineer', 'Tech Lead'})",4,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'Spark', 'Data Engineer', 'Agile'})",4,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'Agile', 'Data Engineer', 'Tech Lead'})",4,,,,,,
0.05714285714285714,"frozenset({'Agile', 'Spark', 'Data Engineer', 'ETL'})",4,,,,,,
0.05714285714285714,"frozenset({'Agile', 'Data Engineer', 'ETL', 'Tech Lead'})",4,,,,,,
0.05714285714285714,"frozenset({'SQL', 'Power BI'})",2,,,0.3253731343283582,2.0,0.2674897119341564,2.0
0.05714285714285714,"frozenset({'Data Warehousing', 'Spark', 'ETL', 'Agile'})",4,,,,,,
0.05714285714285714,"frozenset({'Data Warehousing', 'Agile', 'ETL', 'Tech Lead'})",4,,,,,,
